,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3202,ZNF845,3,2,494,0.4%,"No
"
3203,CMBL,1,1,494,0.2%,"No
"
3204,CTNNA1,2,2,494,0.4%,"Yes
"
3205,CTH,2,2,494,0.4%,"No
"
3206,BRINP3,3,3,494,0.6%,"No
"
3207,B9D1,1,1,494,0.2%,"No
"
3208,LAMP3,1,1,494,0.2%,"No
"
3209,SOGA3,4,2,494,0.4%,"No
"
3210,CTBS,1,1,494,0.2%,"No
"
3211,KRBA2,2,1,494,0.2%,"No
"
3212,B3GALNT2,2,2,494,0.4%,"No
"
3213,SPATA31D1,3,3,494,0.6%,"No
"
3214,GOLGA6C,1,1,494,0.2%,"No
"
3215,THAP3,2,2,494,0.4%,"No
"
3216,VPS41,4,3,494,0.6%,"No
"
3217,TSPYL2,1,1,494,0.2%,"No
"
3218,PRSS22,1,1,494,0.2%,"No
"
3219,DAPP1,1,1,494,0.2%,"No
"
3220,SLC28A3,1,1,494,0.2%,"No
"
3221,LONRF1,2,2,494,0.4%,"No
"
3222,BRAT1,4,4,494,0.8%,"No
"
3223,KRT39,1,1,494,0.2%,"No
"
3224,PELP1,2,2,494,0.4%,"No
"
3225,SND1,1,1,494,0.2%,"Yes
"
3226,UTP25,1,1,494,0.2%,"No
"
3227,CTNNB1,11,11,494,2.2%,"Yes
"
3228,CFAP77,1,1,494,0.2%,"No
"
3229,POTEC,1,1,494,0.2%,"No
"
3230,CTNNA2,3,3,494,0.6%,"No
"
3231,CDH23,9,8,494,1.6%,"No
"
3232,SYT12,1,1,494,0.2%,"No
"
3233,MACIR,1,1,494,0.2%,"No
"
3234,CENPL,1,1,494,0.2%,"No
"
3235,KLHL17,1,1,494,0.2%,"No
"
3236,IGHV6-1,1,1,494,0.2%,"No
"
3237,BCL6,4,4,494,0.8%,"Yes
"
3238,RBKS,1,1,494,0.2%,"No
"
3239,NBEAP1,1,1,494,0.2%,"Yes
"
3240,GOLPH3,2,1,494,0.2%,"No
"
3241,BCL9,4,3,494,0.6%,"Yes
"
3242,CLSTN2,3,3,494,0.6%,"No
"
3243,PARVG,3,3,494,0.6%,"No
"
3244,EPB41L4A,2,2,494,0.4%,"No
"
3245,TMEM26,1,1,494,0.2%,"No
"
3246,ANKRD35,1,1,494,0.2%,"No
"
3247,TICRR,1,1,494,0.2%,"No
"
3248,C1ORF174,1,1,494,0.2%,"No
"
3249,AP1M1,2,1,494,0.2%,"No
"
3250,GYG2,1,1,494,0.2%,"No
"
3251,HJV,3,3,494,0.6%,"No
"
3252,HCN2,1,1,494,0.2%,"No
"
3253,OPN1SW,1,1,494,0.2%,"No
"
3254,BCR,2,2,494,0.4%,"Yes
"
